Data Source,Worldwide Governance Indicators,

Last Updated Date,2026-03-11,

Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
Brazil,BRA,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.223502203822136,,-0.202992081642151,,-0.244871854782104,,-0.266611307859421,-0.367893666028976,-0.400920122861862,-0.475531458854675,-0.402620196342468,-0.40977942943573,-0.288044780492783,-0.103854693472385,0.0564144365489483,0.0451417230069637,-0.0769327953457832,-0.0920452028512955,-0.0529657602310181,-0.187332957983017,-0.1485678,-0.28081790000000001,-0.40150409999999997,-0.38617849999999998,-0.39217189999999996,-0.40914349999999999,-0.43983349999999999,-0.48301259999999996,-0.446218,,
Barbados,BRB,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04677295684814,,1.23299062252045,,1.39622569084167,,1.49393892288208,1.51915323734283,1.42412769794464,1.33475089073181,1.22523212432861,1.31363642215729,1.29860198497772,1.00787806510925,1.07453846931458,1.07407629489899,1.02571737766266,1.03936994075775,1.07996773719788,1.06278419494629,1.0487062999999999,0.96021919999999994,0.8225751,0.78459789999999996,0.7048546,0.70106590000000002,0.7169373,0.73431449999999998,0.72777510000000001,,
Brunei Darussalam,BRN,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.816034913063049,,0.531829595565796,,0.517945468425751,,0.48044890165329,0.564721584320068,0.370861232280731,0.233480259776115,0.115104831755161,0.401655524969101,0.457919597625732,0.782543301582336,0.773040950298309,0.842867791652679,0.787489593029022,0.589591979980469,0.47270455956459,0.383211046457291,0.26568619999999998,0.29364589999999996,0.34050910000000001,0.28854569999999996,0.56342059999999994,0.56163540000000001,0.63858439999999994,0.63830699999999996,0.58760780000000001,,
Bhutan,BTN,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0315036252140999,,0.0383083745837212,,0.130426153540611,,0.0694017261266708,0.136125683784485,0.223591417074203,0.332806766033173,0.212459489703178,0.367832779884338,0.421698182821274,0.219097927212715,0.161859259009361,0.205665543675423,0.260953724384308,0.317186415195465,0.417354077100754,0.534871518611908,0.51507380000000003,0.62062439999999996,0.66744769999999998,0.66186859999999992,0.6470186,0.6782878,0.68378349999999999,0.72000120000000001,0.79026649999999998,,
Botswana,BWA,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.584521055221558,,0.631555795669556,,0.577083766460419,,0.559019982814789,0.670592188835144,0.562500655651093,0.541108727455139,0.513664186000824,0.544856309890747,0.610460937023163,0.586034953594208,0.596930503845215,0.601400375366211,0.594521701335907,0.494382411241531,0.539282619953156,0.483199238777161,0.3914359,0.40374089999999996,0.40317829999999999,0.45191480000000001,0.33481,0.37199329999999997,0.34346689999999996,0.33226919999999999,0.31208419999999998,,
Central African Republic,CAF,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.15238130092621,,-1.1665472984314,,-1.37595665454865,,-0.955280721187592,-1.4330381155014,-1.56201231479645,-1.45132994651794,-1.54490375518799,-1.57391834259033,-1.43187046051025,-1.32386815547943,-1.31199896335602,-1.30544543266296,-1.43880379199982,-1.80943930149078,-1.70663821697235,-1.71155834197998,-1.6889029,-1.6052804999999999,-1.553388,-1.5839953,-1.5623815999999999,-1.5476833999999999,-1.6673354999999999,-1.7248502999999999,-1.7147975,,
Canada,CAN,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64725470542908,,1.71499538421631,,1.66548609733582,,1.66139602661133,1.69705653190613,1.68714725971222,1.65014719963074,1.80108332633972,1.79710018634796,1.79639303684235,1.7967267036438,1.79859042167664,1.72711992263794,1.75642120838165,1.74750757217407,1.88629722595215,1.8071414232254,1.7286564,1.7126572999999998,1.7028344,1.682264,1.5585901,1.5493330999999999,1.5052580999999998,1.4361680999999999,1.4608299,,
Central Europe and the Baltics,CEB,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93155193328857,,1.9275484085083,,1.94582056999207,,1.91821336746216,1.89939785003662,1.88619542121887,1.90166938304901,1.80377161502838,1.82794570922852,1.80470788478851,1.74314093589783,1.74979496002197,1.72214198112488,1.81180202960968,1.79604589939117,1.99025726318359,1.90928101539612,1.8970373999999999,1.8895293999999998,1.9134218999999999,1.9141226,1.8077067999999998,1.7893994,1.7793511,1.7920905999999999,1.7636516,,
Channel Islands,CHI,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11373817920685,,1.09760177135468,,1.26092338562012,,1.25724005699158,1.17721080780029,1.16569674015045,1.21021103858948,1.18129122257233,1.19518756866455,1.21035730838776,1.19409048557281,1.22541570663452,1.26333856582642,1.28765678405762,1.25513780117035,1.34870362281799,1.21972906589508,0.9892533,0.9674315,0.95807359999999997,0.9142444999999999,0.73924089999999998,0.75648369999999998,0.74376129999999996,0.66478029999999999,0.69105529999999993,,
China,CHN,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.545589983463287,,-0.476805359125137,,-0.51611715555191,,-0.517029762268066,-0.553043842315674,-0.585468709468842,-0.650172889232635,-0.699893414974213,-0.597397744655609,-0.479174673557281,-0.46321377158165,-0.472601860761642,-0.453809976577759,-0.545384466648102,-0.52588939666748,-0.396053194999695,-0.408455699682236,-0.62117259999999996,-0.53544029999999998,-0.52044449999999998,-0.55155739999999998,-0.50936959999999998,-0.53861950000000003,-0.56386439999999993,-0.55226069999999994,-0.57931979999999994,,
Cote d'Ivoire,CIV,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.785435140132904,,-0.922914206981659,,-1.24766981601715,,-1.32922720909119,-1.3585205078125,-1.42453122138977,-1.53936767578125,-1.46290397644043,-1.47171807289124,-1.43818151950836,-1.25304388999939,-1.23600256443024,-1.2826817035675,-1.09417271614075,-0.914694607257843,-0.593253374099731,-0.65147203207016,-0.67997239999999992,-0.69424979999999992,-0.62308459999999999,-0.59989949999999992,-0.61833099999999996,-0.6527655,-0.60217569999999998,-0.60229480000000002,-0.57814409999999994,,
Cameroon,CMR,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.44189488887787,,-1.13863706588745,,-1.19274723529816,,-1.26537561416626,-1.16329956054688,-1.17322254180908,-1.19044029712677,-1.16298460960388,-1.18581652641296,-1.10583662986755,-1.13095426559448,-1.0792441368103,-1.08089852333069,-1.04293036460876,-1.05831813812256,-0.897853672504425,-0.998327970504761,-1.0885148999999998,-1.1183068999999999,-1.1423927,-1.1892426999999999,-1.2272567999999999,-1.2194535,-1.2120561999999999,-1.2400720999999999,-1.2537214999999999,,
"Congo, Dem. Rep.",COD,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.87656342983246,,-1.91839897632599,,-1.82056438922882,,-1.76772034168243,-1.85025274753571,-1.7184351682663,-1.54452848434448,-1.62169671058655,-1.6147369146347,-1.57367646694183,-1.64403963088989,-1.62714993953705,-1.62553715705872,-1.66291427612305,-1.58509337902069,-1.46303296089172,-1.6004239320755,-1.5272326999999999,-1.5995941999999999,-1.6569559999999999,-1.649235,-1.6143213999999999,-1.5312264999999998,-1.5809743999999999,-1.6055435999999998,-1.6266053,,
"Congo, Rep.",COG,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.04381000995636,,-1.6188086271286,,-1.34849834442139,,-1.29098534584045,-1.26797068119049,-1.19025015830994,-1.47120356559753,-1.26634573936462,-1.22322463989258,-1.19344258308411,-1.22013962268829,-1.21804785728455,-1.20752120018005,-1.14205086231232,-1.12121033668518,-1.11928927898407,-1.13607060909271,-1.1470001999999999,-1.1856070999999999,-1.2048968,-1.2224066999999998,-1.2489371,-1.2333167999999999,-1.2067388999999999,-1.1829205999999999,-1.1785603,,
Colombia,COL,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.75183779001236,,-0.662920475006104,,-0.925037920475006,,-0.749073088169098,-0.739117562770844,-0.695200145244598,-0.63308185338974,-0.508387923240662,-0.432980388402939,-0.381235986948013,-0.367777585983276,-0.271385610103607,-0.217361465096474,-0.32591912150383,-0.38826909661293,-0.252291530370712,-0.24723581969738,-0.34881859999999998,-0.36538290000000001,-0.42201089999999997,-0.45275709999999997,-0.48249559999999997,-0.50698299999999996,-0.5296476,-0.5648803,-0.5597434,,
